category,price,rating,stock,Discount,status
B,9095,,,18,Inactive
C,6510,4.308675606,,7,Inactive
,6262,,In Stock,11,Inactive
,9639,,In Stock,36,Inactive
,3471,,,20,Inactive
,4587,2.712058753,Out of Stock,11,Active
,3620,,In Stock,,Inactive
,5633,,In Stock,45,Inactive
,5857,2.672355687,,7,Inactive
,357,1.476927448,In Stock,21,Inactive
,3215,1.084174653,Out of Stock,31,Active
,339,3.388199454,,,Active
,7515,,In Stock,1,Active
,7409,,Out of Stock,23,Inactive
D,9154,4.271334932,Out of Stock,,Inactive
,8447,,,34,Inactive
,5141,,In Stock,24,Active
A,4154,,In Stock,48,Active
,3272,3.271867653,,46,Inactive
,8292,3.73645765,Out of Stock,,Inactive
,124,,,11,Inactive
,423,2.107838186,,7,Inactive
,162,,,36,Inactive
,3516,,In Stock,10,Inactive
A,3772,,,19,Inactive
,1493,3.556768125,Out of Stock,18,Active
D,8222,,Out of Stock,45,Inactive
D,2511,3.632099332,In Stock,33,Inactive
,9439,2.651170105,,2,Active
C,9713,4.248103068,Out of Stock,46,Inactive
,,3.486367013,In Stock,32,Active
,6953,2.535200273,In Stock,48,Inactive
,3564,,Out of Stock,47,Inactive
,9035,4.639565427,,18,Inactive
,8551,,In Stock,20,Inactive
,3600,,In Stock,6,Inactive
,6315,,Out of Stock,,Inactive
,1089,2.449721441,In Stock,6,Active
,2903,,In Stock,15,Inactive
C,5245,1.148859125,,26,Inactive
D,789,,Out of Stock,35,Inactive
,7352,4.390909092,Out of Stock,6,Inactive
D,6744,,In Stock,39,Active
,8673,,Out of Stock,7,Active
,9147,4.77191822,In Stock,17,Inactive
D,1669,2.105550917,Out of Stock,46,Inactive
,1307,,Out of Stock,19,Active
B,2763,3.287226166,,,Active
D,5669,,In Stock,2,Active
,6470,,Out of Stock,47,Inactive
B,,2.950462833,In Stock,27,Inactive
,5266,,In Stock,44,Active
,5218,,Out of Stock,30,Inactive
C,9776,4.100424148,In Stock,13,Active
,4936,3.388590917,,32,Active
,9918,3.048414165,,,Inactive
A,,4.073024465,In Stock,10,Inactive
B,8340,2.961243302,Out of Stock,33,Inactive
D,6886,,Out of Stock,19,Active
,4811,,Out of Stock,22,Active
D,2660,,,5,Inactive
C,5040,,Out of Stock,16,Inactive
,8937,3.168626657,In Stock,,Active
,7171,3.564330537,In Stock,31,Inactive
,2637,,In Stock,13,Active
,2977,4.886014306,In Stock,23,Active
,,,In Stock,46,Inactive
C,7299,1.181898107,,3,Inactive
,5654,,In Stock,27,Active
B,7843,4.764716532,Out of Stock,0,Inactive
,193,3.484824617,Out of Stock,27,Active
,5756,,,11,Inactive
,4765,,In Stock,37,Active
,1175,3.024834877,Out of Stock,5,Inactive
,2061,1.493867065,,7,Inactive
,5123,4.92946508,,20,Inactive
B,2045,,In Stock,1,Active
,4862,2.383654498,Out of Stock,29,Inactive
B,9178,4.985115727,,41,Active
,,3.751455104,Out of Stock,22,Active
,3237,,Out of Stock,40,Inactive
C,4033,1.638581334,,6,Inactive
,6217,,In Stock,42,Inactive
,1958,4.694981288,Out of Stock,46,Active
,7051,,,13,Active
,8541,4.579736468,,,Active
,1317,,In Stock,20,Inactive
,9240,2.637989665,In Stock,40,Inactive
,810,3.254853508,,45,Active
,7041,,,36,Active
C,7973,3.974919871,Out of Stock,13,Inactive
,6433,1.596048613,,12,Inactive
,6966,,In Stock,43,Active
,8449,2.658873199,,39,Inactive
B,6387,4.806959517,,33,Active
B,7038,3.759453413,Out of Stock,41,Inactive
D,3418,,,16,Inactive
,4871,,,28,Inactive
D,251,,In Stock,3,Inactive
,7418,,In Stock,43,Inactive
A,1986,2.413929215,In Stock,17,Inactive
B,1202,3.248570097,Out of Stock,39,Active
,5946,,Out of Stock,,Inactive
,6096,3.180236479,Out of Stock,14,Inactive
,,3.129525112,Out of Stock,45,Inactive
,5138,1.576842737,Out of Stock,17,Active
,7403,4.395858845,In Stock,22,Inactive
,9818,,,7,Inactive
,3848,,In Stock,24,Active
,9984,,In Stock,0,Active
,632,2.24213851,,12,Active
,8098,,Out of Stock,22,Active
A,2408,2.897409883,,44,Inactive
B,5574,,,21,Inactive
,8547,1.906573063,Out of Stock,31,Inactive
,2133,,,,Active
,3044,,Out of Stock,29,Inactive
C,2501,2.646604879,Out of Stock,22,Inactive
,2523,,,40,Active
,8454,2.134147382,,36,Inactive
D,4298,3.559395227,In Stock,40,Inactive
,2003,,,3,Inactive
,3757,,In Stock,25,Inactive
,5397,,In Stock,25,Active
,5153,,In Stock,9,Inactive
,790,4.674096132,,,Active
,3137,4.976589842,In Stock,39,Inactive
,7241,,,46,Active
,6029,,,28,Inactive
,540,1.149366315,In Stock,5,Inactive
,628,3.298095823,In Stock,28,Active
,6620,1.876627015,,19,Inactive
,3258,,Out of Stock,24,Inactive
,8648,1.171016659,Out of Stock,26,Inactive
,787,3.129012544,Out of Stock,,Active
,3734,3.580740512,Out of Stock,18,Inactive
,8483,4.602869473,Out of Stock,0,Inactive
,6472,3.200770016,Out of Stock,15,Active
B,4642,,Out of Stock,26,Active
B,8642,4.002560278,Out of Stock,48,Inactive
D,255,3.149575415,In Stock,33,Active
,9520,1.979189749,,44,Active
,1127,2.869476572,In Stock,11,Inactive
,3940,,In Stock,10,Active
C,829,,In Stock,42,Inactive
,9349,3.652425158,Out of Stock,15,Inactive
,8679,4.710448317,In Stock,,Active
A,7766,,In Stock,17,Active
,8394,,Out of Stock,34,Inactive
,891,,,31,Active
,5512,4.987610761,In Stock,29,Active
,7485,4.387702937,,30,Inactive
,5587,,In Stock,44,Active
B,8643,1.729505833,Out of Stock,12,Active
,9140,,Out of Stock,44,Active
,157,,Out of Stock,24,Inactive
A,7902,,Out of Stock,24,Active
,8698,4.307085604,,5,Active
A,1316,3.082218888,Out of Stock,24,Inactive
B,186,1.445798567,,16,Inactive
,5003,3.814695115,In Stock,30,Inactive
B,1328,1.187935343,In Stock,44,Inactive
,8314,,In Stock,11,Inactive
A,4477,,Out of Stock,12,Active
,8311,,In Stock,28,Active
,6426,,,18,Inactive
B,9362,1.3077867,In Stock,13,Inactive
,1718,2.687082325,In Stock,7,Inactive
B,6379,,,32,Inactive
,6928,2.333093633,In Stock,,Inactive
C,4404,1.491863367,Out of Stock,,Active
A,8071,,,12,Inactive
,523,3.791541491,Out of Stock,15,Inactive
,4064,3.131949632,Out of Stock,2,Inactive
,2867,,,44,Inactive
C,3604,,,7,Active
B,8525,4.440149062,In Stock,35,Active
C,7305,,In Stock,17,Active
,8099,,,10,Inactive
,4926,,Out of Stock,42,Active
D,,,,38,Active
,7750,2.169501643,Out of Stock,36,Active
,3545,2.622266078,Out of Stock,,Active
,4679,,Out of Stock,7,Inactive
D,4053,,,,Active
C,6566,,Out of Stock,,Active
C,667,,In Stock,37,Active
D,6477,3.282895973,Out of Stock,,Active
A,1022,4.992002328,In Stock,30,Inactive
D,4048,3.520451123,,10,Inactive
C,2033,,In Stock,26,Active
D,5436,,,25,Inactive
A,1914,,In Stock,9,Inactive
,1983,,,,Inactive
B,4862,,Out of Stock,6,Active
,784,,In Stock,42,Active
,7596,,In Stock,4,Inactive
B,8613,,In Stock,18,Inactive
A,1789,4.812429208,,38,Active
C,2410,3.020600412,Out of Stock,3,Inactive
A,7596,2.799564144,In Stock,10,Active
C,5620,,Out of Stock,38,Inactive
B,2564,1.070741912,Out of Stock,0,Inactive
,8821,,Out of Stock,17,Active
,1934,2.006068127,,8,Inactive
A,7615,3.341888371,In Stock,32,Active
B,3614,2.788721981,,,Active
,1151,,Out of Stock,,Inactive
,8806,3.081901216,,11,Active
,6325,3.47719377,Out of Stock,18,Active
,9001,1.83768181,In Stock,5,Active
,3384,,Out of Stock,26,Inactive
,9011,,In Stock,35,Inactive
D,3197,,In Stock,22,Active
A,212,,Out of Stock,37,Inactive
,6599,,In Stock,45,Active
,,,In Stock,44,Inactive
,1656,,Out of Stock,47,Active
B,4367,,In Stock,35,Inactive
,,3.691579128,In Stock,46,Active
D,,4.008435243,Out of Stock,15,Inactive
,4743,,,19,Inactive
,3314,,Out of Stock,41,Active
,7324,3.988260713,,2,Active
,7630,,In Stock,20,Inactive
,6558,,,13,Active
,6258,4.397031714,,16,Inactive
,3114,,,28,Active
A,223,,In Stock,23,Inactive
,7538,,,7,Inactive
,,,In Stock,44,Active
,5604,4.543692172,,2,Inactive
,5423,4.181258427,Out of Stock,,Inactive
,,1.393853993,,1,Active
B,1666,4.497136106,In Stock,23,Inactive
,,3.281209572,In Stock,41,Active
D,8133,2.945173599,,47,Inactive
A,2173,1.482811755,In Stock,32,Active
B,3343,,,38,Inactive
,5738,,Out of Stock,38,Inactive
C,2347,4.459114967,Out of Stock,28,Inactive
,545,3.228205939,In Stock,,Inactive
,5000,,,34,Inactive
,9431,,,44,Inactive
,2751,,,15,Inactive
,4986,,Out of Stock,34,Active
,8384,,Out of Stock,,Active
,7136,3.50365568,In Stock,22,Inactive
,4377,,,2,Active
,3579,3.830460774,In Stock,39,Inactive
,2268,,In Stock,28,Inactive
A,9790,1.250023463,In Stock,31,Active
,4791,,In Stock,42,Inactive
C,5484,,Out of Stock,6,Inactive
,2675,,In Stock,46,Inactive
,9067,,In Stock,2,Active
,9933,,,36,Inactive
,9223,,Out of Stock,43,Active
C,238,,Out of Stock,9,Inactive
D,,,Out of Stock,15,Active
,7192,3.385554291,In Stock,4,Inactive
A,,,In Stock,37,Active
A,3108,,Out of Stock,,Inactive
,1235,1.630222975,,19,Inactive
,9074,,In Stock,39,Active
,759,1.050254168,In Stock,5,Active
,6328,,,20,Active
,3071,,,46,Active
,7957,1.17897941,,7,Active
,6256,,Out of Stock,,Inactive
,9058,,,15,Active
,5053,1.738606225,,28,Active
A,3153,4.484748211,,37,Inactive
,5735,,In Stock,34,Active
B,8453,,In Stock,15,Active
C,7869,1.913117777,In Stock,40,Inactive
,1014,,Out of Stock,20,Inactive
B,4660,,In Stock,7,Inactive
,7231,1.424892934,,10,Inactive
C,6575,2.448260416,,16,Active
,1964,,Out of Stock,25,Active
,3611,,In Stock,0,Inactive
C,6139,3.714365385,Out of Stock,13,Inactive
A,1543,,In Stock,23,Active
A,747,,,1,Inactive
,7188,3.54198952,,22,Active
A,1812,2.546586866,,39,Inactive
,6364,2.184547688,,15,Inactive
,7588,2.273843734,In Stock,5,Active
,8615,1.215586359,Out of Stock,22,Active
,1474,,Out of Stock,,Active
,7165,,In Stock,45,Inactive
,6782,1.052279568,In Stock,25,Inactive
A,9042,,In Stock,22,Inactive
,6840,,In Stock,,Inactive
,3519,,Out of Stock,9,Inactive
,8320,3.671253561,Out of Stock,6,Inactive
,451,1.623219994,In Stock,32,Active
A,1521,1.958172002,In Stock,15,Active
,9768,,,,Active
,4352,,,24,Active
,3375,,Out of Stock,15,Active
,3207,,,43,Active
,7742,2.587259003,In Stock,16,Active
A,,,,34,Active
,772,3.200412441,Out of Stock,13,Inactive
,6960,3.19927699,In Stock,39,Inactive
B,8440,4.233513951,,4,Inactive
,4500,,Out of Stock,23,Active
,8596,,In Stock,45,Inactive
,9590,,In Stock,44,Inactive
B,4397,4.098863251,In Stock,13,Inactive
,744,,In Stock,26,Inactive
,,2.768665479,In Stock,12,Active
,6127,,Out of Stock,8,Active
,7908,,,0,Inactive
C,9301,1.385347773,Out of Stock,17,Inactive
,2858,,,29,Active
D,8571,4.147482153,In Stock,17,Active
B,9699,1.997081459,In Stock,41,Active
,480,,Out of Stock,,Inactive
,7949,,In Stock,,Active
B,7923,,,33,Inactive
,2898,,,25,Inactive
,8240,2.528718725,Out of Stock,16,Inactive
D,2017,,,5,Inactive
,174,,In Stock,28,Inactive
C,9049,,Out of Stock,28,Inactive
,3643,,In Stock,16,Active
D,1192,1.772850479,,,Active
,4340,2.867764996,Out of Stock,0,Inactive
C,271,1.387043102,,15,Inactive
,5729,,,33,Inactive
,2497,2.720887803,Out of Stock,42,Active
,5140,,,,Inactive
,6060,,In Stock,6,Inactive
,2826,,,35,Inactive
D,1365,,,37,Active
,7243,3.741428322,Out of Stock,45,Inactive
,892,,Out of Stock,31,Inactive
C,3284,,In Stock,21,Active
A,3668,2.884610488,In Stock,,Inactive
,2572,,Out of Stock,23,Inactive
,6836,,In Stock,28,Active
A,986,2.099192261,In Stock,37,Inactive
,1753,,Out of Stock,17,Inactive
,5250,1.993403179,Out of Stock,17,Active
,2797,2.032770987,Out of Stock,27,Active
,2051,,Out of Stock,45,Active
,3481,,,41,Inactive
,8327,,,,Inactive
,4099,,Out of Stock,,Inactive
A,3190,4.955731426,In Stock,31,Inactive
,6307,3.564522511,Out of Stock,36,Active
,6132,3.46564982,,35,Inactive
D,248,,,4,Active
,8589,2.857183193,In Stock,19,Inactive
,9728,,In Stock,22,Inactive
,3403,,,,Inactive
A,4039,,,29,Inactive
B,4119,,In Stock,11,Inactive
A,5009,,,28,Active
,6142,4.376229068,In Stock,2,Inactive
,4628,2.974389336,Out of Stock,,Active
,141,,In Stock,15,Active
,4884,,,25,Active
,5286,4.263091606,,45,Active
,6906,,Out of Stock,,Inactive
C,517,1.272983361,In Stock,,Inactive
,9291,,Out of Stock,19,Inactive
,9364,,Out of Stock,,Inactive
,2295,,Out of Stock,12,Inactive
A,6229,4.089846408,In Stock,6,Inactive
,9439,,In Stock,,Active
B,8991,2.102077996,Out of Stock,2,Inactive
C,8254,,In Stock,39,Inactive
,5627,3.23175822,In Stock,46,Inactive
,7289,,In Stock,14,Inactive
A,943,,Out of Stock,31,Active
,337,,,46,Active
B,4844,,In Stock,43,Active
,458,2.957183552,Out of Stock,15,Inactive
,5050,,,21,Inactive
D,3182,3.636535719,Out of Stock,5,Active
,3761,4.854906644,Out of Stock,22,Active
,6986,,In Stock,41,Active
B,5901,,Out of Stock,28,Active
,9799,,,,Active
,6673,4.968787653,In Stock,41,Inactive
,360,4.525248011,In Stock,46,Inactive
,4279,2.06373089,In Stock,,Inactive
,3034,,,31,Inactive
,5983,,,17,Inactive
D,5065,,Out of Stock,49,Inactive
,6735,,In Stock,27,Active
D,9480,2.282681765,In Stock,,Inactive
,1937,3.171312968,,45,Inactive
,2048,2.930280425,Out of Stock,38,Inactive
,3428,4.400024012,,46,Active
,4853,,In Stock,40,Active
B,,4.9564559,,14,Active
C,2548,1.1615293,,2,Inactive
C,9676,,In Stock,13,Active
C,3252,2.957626141,,35,Active
B,4963,2.631434918,In Stock,35,Active
,9837,4.077143018,Out of Stock,15,Active
,7803,3.538834862,In Stock,0,Active
,2731,,In Stock,39,Active
D,6260,,In Stock,8,Inactive
,5483,,In Stock,,Active
,5473,3.984919278,,31,Active
C,8063,2.954655793,In Stock,44,Active
,2861,2.366446272,Out of Stock,6,Inactive
,6186,3.675261507,Out of Stock,46,Active
,2040,3.392246205,,38,Active
,3083,3.154964374,,20,Active
,9633,3.841630932,Out of Stock,41,Inactive
,1242,3.037537249,,14,Inactive
,5215,,,22,Inactive
,,,Out of Stock,1,Active
,,,Out of Stock,15,Inactive
,8417,,In Stock,9,Active
C,2935,3.282913092,,,Active
,3955,,Out of Stock,40,Active
,6194,1.139402852,Out of Stock,35,Inactive
A,3144,1.377917757,In Stock,23,Inactive
,3255,1.866750989,,20,Inactive
,6541,2.949805247,In Stock,45,Active
,4247,1.145729086,Out of Stock,2,Inactive
,9171,,In Stock,31,Inactive
D,2565,2.622165129,,9,Active
A,3673,,,37,Active
,6148,,In Stock,43,Active
D,1140,1.455668819,In Stock,38,Active
A,1853,2.612752561,In Stock,9,Inactive
,2066,,In Stock,36,Active
,2863,2.94514563,In Stock,40,Inactive
D,254,4.134695614,In Stock,,Inactive
,9524,1.858421083,,4,Inactive
,6996,,Out of Stock,36,Inactive
,8176,3.515005361,Out of Stock,45,Active
,1537,1.168436341,,22,Active
D,3771,,In Stock,30,Active
,7965,3.05295501,Out of Stock,9,Active
,4424,4.992992178,In Stock,41,Active
B,4743,,Out of Stock,30,Inactive
,9729,1.735501044,,33,Active
,2314,2.950400141,Out of Stock,34,Active
,2753,4.976548188,,46,Inactive
,2085,,In Stock,37,Inactive
,587,,,15,Inactive
,,,Out of Stock,28,Active
B,6444,,In Stock,44,Inactive
,1322,,,41,Active
D,9833,,Out of Stock,25,Inactive
,531,3.763509325,In Stock,5,Inactive
,2153,3.227096171,Out of Stock,45,Active
,5119,1.77370182,Out of Stock,48,Inactive
,8627,1.610264032,Out of Stock,,Active
,297,,Out of Stock,3,Active
,5426,,Out of Stock,22,Inactive
C,273,1.418083459,,4,Active
,3164,1.856487649,,,Inactive
D,3836,,,31,Active
C,907,,In Stock,4,Inactive
,,,Out of Stock,,Inactive
,944,,In Stock,44,Active
,6618,2.390335592,In Stock,24,Inactive
,580,1.490735079,In Stock,38,Inactive
,7422,1.388789992,In Stock,40,Inactive
C,8748,1.527482504,,6,Active
,2526,,,19,Active
,2193,,,8,Inactive
,2141,1.442735678,In Stock,36,Active
,8942,4.356030324,Out of Stock,43,Active
D,3311,3.779833637,Out of Stock,42,Active
,3601,,Out of Stock,10,Inactive
,2908,,Out of Stock,43,Active
B,9772,4.386476094,In Stock,1,Inactive
,4953,2.556363088,Out of Stock,13,Inactive
,3596,,,30,Active
,5570,1.211041221,,24,Inactive
A,572,,Out of Stock,,Active
,413,3.875076251,Out of Stock,24,Active
,9448,,In Stock,31,Active
,1476,3.283649655,,32,Active
D,6094,,,20,Inactive
,1360,,,36,Inactive
C,4651,,,29,Active
,2630,,In Stock,29,Inactive
C,2708,1.593960655,,40,Inactive
C,6768,,,34,Inactive
D,1072,,Out of Stock,20,Inactive
A,5966,,,15,Active
,1357,1.575677158,Out of Stock,47,Inactive
B,4688,1.013644458,Out of Stock,39,Active
C,5135,1.397958088,Out of Stock,43,Active
B,5835,,,20,Active
,2489,,In Stock,43,Inactive
C,2831,4.015490083,,30,Inactive
A,6309,,,34,Inactive
,868,4.447012481,,5,Active
,2951,,Out of Stock,37,Active
C,7595,,,27,Active
,4775,1.970066334,,14,Inactive
,3462,,Out of Stock,8,Active
C,5131,4.236650019,In Stock,40,Inactive
,5159,,In Stock,30,Active
,978,,Out of Stock,7,Inactive
B,6750,2.240162267,In Stock,21,Inactive
,1035,4.095231038,Out of Stock,7,Active
,9682,4.489641074,In Stock,36,Active
B,9919,2.91635133,,4,Inactive
,5085,,Out of Stock,7,Inactive
A,1448,1.578281882,In Stock,28,Inactive
,6307,4.954964905,Out of Stock,,Inactive
,6101,4.210077431,In Stock,0,Inactive
D,6054,,Out of Stock,36,Inactive
,2410,3.118344839,In Stock,,Active
,2579,,Out of Stock,34,Inactive
D,5841,4.241377172,Out of Stock,19,Active
,,,,,Inactive
,7321,4.762416364,Out of Stock,,Active
,1434,,In Stock,46,Active
C,,4.403474798,In Stock,21,Inactive
C,1680,,,46,Inactive
B,1076,3.472829215,Out of Stock,12,Active
,8772,,Out of Stock,6,Active
,6797,4.295197752,,32,Active
,9848,4.571325151,Out of Stock,13,Active
,4384,4.295469147,In Stock,5,Active
,8403,4.420791317,In Stock,30,Active
,8281,,In Stock,15,Active
,8486,,In Stock,34,Active
,7882,3.499802616,,22,Active
,9644,,Out of Stock,7,Active
A,2934,,Out of Stock,25,Active
D,8941,,,,Inactive
D,7260,,Out of Stock,21,Active
C,2987,2.20114132,In Stock,31,Inactive
D,9653,,Out of Stock,,Inactive
A,5196,3.818020813,,26,Inactive
,5015,4.508928573,Out of Stock,13,Active
,716,,,33,Inactive
,,3.7085414,In Stock,41,Inactive
,6966,1.236107425,In Stock,24,Inactive
,4024,,,35,Active
,7878,3.317701614,,3,Active
A,,2.800727782,In Stock,6,Active
,7987,,,39,Active
,6208,4.056545931,,44,Inactive
,7770,,In Stock,44,Active
,7321,3.453911916,In Stock,,Inactive
B,9394,1.942344464,,47,Active
,1406,3.22371146,Out of Stock,13,Inactive
C,1871,,Out of Stock,29,Active
,1348,,,18,Inactive
,8474,3.987314096,Out of Stock,35,Inactive
,1102,4.65598457,Out of Stock,29,Inactive
,6105,,Out of Stock,35,Inactive
,5797,1.10844843,In Stock,35,Inactive
,8774,1.774009819,In Stock,19,Inactive
,8547,,Out of Stock,47,Inactive
,816,3.809783416,Out of Stock,2,Inactive
B,7656,2.781461153,In Stock,20,Inactive
,6616,,,7,Inactive
A,1499,,Out of Stock,38,Active
B,5995,3.091445142,In Stock,18,Inactive
,3007,,,7,Active
,311,,,18,Active
,3112,,Out of Stock,15,Inactive
B,8240,3.652888298,In Stock,48,Inactive
,4606,,In Stock,7,Active
B,3368,1.688999755,,7,Inactive
B,9265,,In Stock,24,Inactive
B,6898,,,,Active
D,390,2.527515739,,6,Active
A,3669,,Out of Stock,17,Active
B,9746,,Out of Stock,14,Inactive
,9408,,In Stock,31,Inactive
,8843,,,2,Active
,4296,,In Stock,33,Active
,4085,1.552376432,In Stock,33,Active
C,5972,3.103611591,,,Inactive
,5512,,Out of Stock,26,Inactive
C,3305,3.926798443,In Stock,5,Inactive
,7738,3.266528515,In Stock,27,Active
,5578,4.85474897,,36,Inactive
,229,,,3,Inactive
,4443,3.160280553,In Stock,48,Inactive
,9317,2.539409378,In Stock,17,Inactive
,7683,3.47373906,,45,Active
C,857,,Out of Stock,5,Active
B,702,2.238852278,In Stock,45,Inactive
,,,Out of Stock,,Active
A,5370,,In Stock,1,Inactive
B,5499,4.118607925,Out of Stock,48,Active
D,8711,4.232480533,In Stock,1,Inactive
,8405,4.626298947,,18,Inactive
,399,,In Stock,18,Inactive
,3241,,In Stock,47,Inactive
,273,,In Stock,5,Active
B,4364,3.491178315,Out of Stock,35,Inactive
,6554,4.901451621,Out of Stock,39,Inactive
,9571,,In Stock,3,Active
,772,,Out of Stock,43,Inactive
,,,,1,Inactive
,9685,2.091469996,In Stock,41,Inactive
,9471,,,37,Active
,8513,1.63448425,,3,Active
,8767,,Out of Stock,38,Active
A,4625,3.670805771,,,Inactive
,3883,3.931179035,,33,Inactive
A,5281,2.141793154,In Stock,41,Inactive
,1265,4.460394571,,7,Active
A,5164,,,38,Inactive
,1780,2.201523166,In Stock,36,Active
,3022,4.203255409,Out of Stock,16,Inactive
B,5880,,In Stock,43,Active
,3101,,,35,Active
,2993,,,8,Inactive
,7642,,In Stock,45,Inactive
,7620,2.758632459,In Stock,23,Active
,8010,,Out of Stock,26,Inactive
,8493,,,14,Active
,8977,4.54885495,,49,Active
,5680,1.41723833,,39,Active
D,9536,,,33,Inactive
D,7810,1.481073746,In Stock,38,Inactive
D,6108,2.474654234,,10,Inactive
,9624,,,25,Active
B,2162,,In Stock,38,Inactive
,263,4.652271734,Out of Stock,,Active
,7003,1.930083337,In Stock,19,Inactive
,5601,,In Stock,32,Active
A,2558,,Out of Stock,33,Inactive
C,3826,3.821176638,In Stock,43,Inactive
,4048,,Out of Stock,29,Active
,3898,1.027062133,Out of Stock,18,Active
D,645,2.454962136,,42,Active
,3556,,In Stock,30,Inactive
,4059,,Out of Stock,36,Active
,8326,1.338459718,In Stock,,Active
D,1183,2.746028971,Out of Stock,43,Active
,5963,,In Stock,18,Active
B,5973,2.750414246,In Stock,42,Active
,9025,,,27,Active
D,4690,2.062145612,In Stock,13,Inactive
,,,,24,Inactive
D,2494,3.619980556,Out of Stock,,Active
,8641,2.648164553,,41,Inactive
C,3836,,,33,Active
,303,,,22,Inactive
,628,,Out of Stock,24,Active
,2006,4.956117744,In Stock,9,Inactive
B,5235,1.823431056,Out of Stock,11,Inactive
,5352,3.931256859,In Stock,9,Active
,4269,,In Stock,26,Active
A,5315,2.162387429,,49,Active
,4300,,Out of Stock,23,Inactive
,,4.557730651,In Stock,27,Active
A,4823,,In Stock,35,Active
,7285,,In Stock,9,Active
A,2090,,Out of Stock,4,Inactive
,7018,,In Stock,20,Inactive
B,9607,4.78979545,,10,Inactive
B,3178,4.165977428,In Stock,20,Active
B,1378,4.81070385,In Stock,42,Inactive
D,2469,,In Stock,47,Inactive
A,2053,3.317306005,In Stock,,Inactive
,9449,,In Stock,12,Active
B,7574,4.597769152,Out of Stock,28,Active
B,2629,,In Stock,28,Inactive
,9443,4.430256738,In Stock,16,Inactive
C,9149,,Out of Stock,30,Inactive
D,,,,0,Active
,8110,,Out of Stock,12,Inactive
,5001,3.111345273,Out of Stock,6,Inactive
,4945,3.102738577,In Stock,27,Active
A,5065,,Out of Stock,,Inactive
B,1425,3.747818333,In Stock,40,Inactive
A,8714,4.05387378,In Stock,,Active
,9964,,,36,Inactive
A,7245,3.926151476,,14,Inactive
,1493,3.900723431,Out of Stock,18,Inactive
D,5681,4.728030581,Out of Stock,39,Inactive
,698,,Out of Stock,8,Inactive
,8109,,In Stock,40,Inactive
,1475,,Out of Stock,3,Inactive
,103,,,16,Inactive
C,5350,4.408158703,Out of Stock,27,Active
,4344,4.158135045,,12,Active
B,6216,3.885563882,Out of Stock,10,Active
B,7410,,Out of Stock,11,Inactive
,908,,,12,Active
,5949,,,32,Active
,4348,4.831264996,In Stock,37,Active
,2425,1.280146153,,34,Inactive
D,6698,,,,Active
,1951,1.283084495,Out of Stock,38,Inactive
C,8300,1.346404524,,29,Active
,3888,3.038160198,,20,Active
C,4005,2.026526908,Out of Stock,40,Inactive
A,9854,2.694786816,Out of Stock,3,Active
,1064,,,14,Inactive
B,8598,4.070810494,Out of Stock,29,Active
,6216,,In Stock,14,Inactive
,4776,3.879422822,,36,Active
,1856,1.84046304,Out of Stock,31,Inactive
D,3555,1.228609704,In Stock,,Active
,2607,,In Stock,21,Active
,,,Out of Stock,,Inactive
C,7122,,In Stock,1,Active
,6550,1.450351704,Out of Stock,23,Active
C,1366,4.711987441,,38,Inactive
C,7081,,,24,Inactive
,577,,,20,Active
,8936,1.934474586,,13,Active
,823,1.094312981,In Stock,44,Active
C,3458,,In Stock,6,Inactive
A,9852,2.023945041,Out of Stock,26,Active
,8394,,Out of Stock,12,Active
B,5579,,Out of Stock,,Inactive
,6696,,,0,Inactive
,9038,3.792991317,Out of Stock,49,Active
B,5575,3.830638131,,28,Active
C,2934,,In Stock,28,Active
,4907,,Out of Stock,,Active
,2359,1.234748701,Out of Stock,,Inactive
B,3064,2.974713116,In Stock,13,Inactive
,9689,3.898176359,,47,Inactive
C,3017,3.398362562,In Stock,47,Active
,1186,3.214620582,Out of Stock,38,Inactive
,,2.046778923,Out of Stock,8,Active
,597,3.792008442,In Stock,47,Inactive
,9172,,,,Inactive
A,5842,,Out of Stock,40,Active
,9693,2.760583601,,47,Active
,2780,,In Stock,,Active
,1160,4.232012628,In Stock,25,Active
,,3.125256652,In Stock,,Inactive
,2373,,Out of Stock,10,Inactive
B,8478,,,38,Inactive
,2885,3.292187368,,4,Inactive
,1871,2.699047462,Out of Stock,27,Active
D,9802,,In Stock,36,Active
,9101,,Out of Stock,1,Active
,8077,3.110698203,Out of Stock,20,Active
,878,,,10,Active
,4470,,,49,Active
,9895,3.588648082,In Stock,5,Active
,1400,4.130239033,In Stock,,Inactive
A,244,2.263985595,In Stock,4,Active
,7247,,Out of Stock,16,Active
,860,4.764904532,,18,Inactive
,9078,3.200384235,In Stock,30,Inactive
A,9997,,,27,Active
,9958,4.163330986,,1,Active
,3894,,In Stock,15,Inactive
D,5901,3.33037534,In Stock,31,Inactive
,1746,,In Stock,34,Active
C,7019,2.301755275,,41,Active
,4316,,Out of Stock,11,Inactive
B,3019,3.434520378,In Stock,44,Inactive
,1898,1.062002358,Out of Stock,0,Inactive
D,4042,2.92666232,Out of Stock,35,Inactive
B,,1.377046094,,35,Active
,3807,2.788718126,Out of Stock,15,Active
,1871,3.355528909,,43,Inactive
D,5843,,Out of Stock,24,Active
,2462,2.14258953,Out of Stock,,Active
,5671,,Out of Stock,35,Inactive
,2163,,In Stock,2,Active
B,141,2.044135976,In Stock,15,Inactive
,5263,,,10,Inactive
C,3097,,Out of Stock,28,Active
